project_id,project,file,db,versionNumber,vulnerability_id,cve,first_seen_in_project,last_seen_in_project,commits_observed,rows_observed,published_at,last_modified_at,cvss_score,cvss_severity,cvss_vector,vulnerability_status,vulnerability_name,vulnerability_description,vuln_purl
1,Activiti,activiti-api-basic-connector-examples,H2,1.4.200,487.0,CVE-2021-42392,2019-12-04,2020-01-19,14,14,2022-01-10 14:10:23.643,2024-11-21 06:27:43.510,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,[CVE-2021-42392] CWE-502: Deserialization of Untrusted Data,"The org.h2.util.JdbcUtils.getConnection method of the H2 database takes as parameters the class name of the driver and URL of the database. An attacker may pass a JNDI driver name and a URL leading to a LDAP or RMI servers, causing remote code execution. This can be exploited through various attack vectors, most notably through the H2 Console which leads to unauthenticated remote code execution.

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-42392 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-connector-examples,H2,1.4.200,488.0,CVE-2022-23221,2019-12-04,2020-01-19,14,14,2022-01-19 17:15:09.000,2025-05-05 17:17:56.070,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-88,[CVE-2022-23221] CWE-88: Argument Injection or Modification,"H2 Console before 2.1.210 allows remote attackers to execute arbitrary code via a jdbc:h2:mem JDBC URL containing the IGNORE_UNKNOWN_SETTINGS=TRUE;FORBID_CREATION=FALSE;INIT=RUNSCRIPT substring, a different vulnerability than CVE-2021-42392.",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-connector-examples,H2,1.4.200,491.0,CVE-2022-45868,2019-12-04,2020-01-19,14,14,2022-11-23 21:15:11.360,2024-11-21 07:29:52.050,8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-200,[CVE-2022-45868] CWE-200: Information Exposure,"h2database - Exposure of Sensitive Information to an Unauthorized Actor [CVE-2022-45868]

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-45868 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example,H2,1.4.200,489.0,CVE-2018-14335,2019-12-04,2020-01-19,14,14,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example,H2,1.4.200,490.0,CVE-2021-23463,2019-12-04,2020-01-19,14,14,2021-12-10 20:15:07.917,2024-11-21 05:51:47.487,8.1,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,CWE-611,[CVE-2021-23463] CWE-611: Improper Restriction of XML External Entity Reference ('XXE'),h2 - XML eXternal Entity (XXE) [CVE-2021-23463],pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example,H2,1.4.200,487.0,CVE-2021-42392,2019-12-04,2020-01-19,14,14,2022-01-10 14:10:23.643,2024-11-21 06:27:43.510,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,[CVE-2021-42392] CWE-502: Deserialization of Untrusted Data,"The org.h2.util.JdbcUtils.getConnection method of the H2 database takes as parameters the class name of the driver and URL of the database. An attacker may pass a JNDI driver name and a URL leading to a LDAP or RMI servers, causing remote code execution. This can be exploited through various attack vectors, most notably through the H2 Console which leads to unauthenticated remote code execution.

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-42392 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example,H2,1.4.200,488.0,CVE-2022-23221,2019-12-04,2020-01-19,14,14,2022-01-19 17:15:09.000,2025-05-05 17:17:56.070,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-88,[CVE-2022-23221] CWE-88: Argument Injection or Modification,"H2 Console before 2.1.210 allows remote attackers to execute arbitrary code via a jdbc:h2:mem JDBC URL containing the IGNORE_UNKNOWN_SETTINGS=TRUE;FORBID_CREATION=FALSE;INIT=RUNSCRIPT substring, a different vulnerability than CVE-2021-42392.",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example,H2,1.4.200,491.0,CVE-2022-45868,2019-12-04,2020-01-19,14,14,2022-11-23 21:15:11.360,2024-11-21 07:29:52.050,8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-200,[CVE-2022-45868] CWE-200: Information Exposure,"h2database - Exposure of Sensitive Information to an Unauthorized Actor [CVE-2022-45868]

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-45868 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-bean,H2,1.4.200,489.0,CVE-2018-14335,2020-01-20,2023-10-13,172,172,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-bean,H2,1.4.200,490.0,CVE-2021-23463,2020-01-20,2023-10-13,172,172,2021-12-10 20:15:07.917,2024-11-21 05:51:47.487,8.1,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,CWE-611,[CVE-2021-23463] CWE-611: Improper Restriction of XML External Entity Reference ('XXE'),h2 - XML eXternal Entity (XXE) [CVE-2021-23463],pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-bean,H2,1.4.200,487.0,CVE-2021-42392,2020-01-20,2023-10-13,172,172,2022-01-10 14:10:23.643,2024-11-21 06:27:43.510,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,[CVE-2021-42392] CWE-502: Deserialization of Untrusted Data,"The org.h2.util.JdbcUtils.getConnection method of the H2 database takes as parameters the class name of the driver and URL of the database. An attacker may pass a JNDI driver name and a URL leading to a LDAP or RMI servers, causing remote code execution. This can be exploited through various attack vectors, most notably through the H2 Console which leads to unauthenticated remote code execution.

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-42392 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-bean,H2,1.4.200,488.0,CVE-2022-23221,2020-01-20,2023-10-13,172,172,2022-01-19 17:15:09.000,2025-05-05 17:17:56.070,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-88,[CVE-2022-23221] CWE-88: Argument Injection or Modification,"H2 Console before 2.1.210 allows remote attackers to execute arbitrary code via a jdbc:h2:mem JDBC URL containing the IGNORE_UNKNOWN_SETTINGS=TRUE;FORBID_CREATION=FALSE;INIT=RUNSCRIPT substring, a different vulnerability than CVE-2021-42392.",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-bean,H2,1.4.200,491.0,CVE-2022-45868,2020-01-20,2023-10-13,172,172,2022-11-23 21:15:11.360,2024-11-21 07:29:52.050,8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-200,[CVE-2022-45868] CWE-200: Information Exposure,"h2database - Exposure of Sensitive Information to an Unauthorized Actor [CVE-2022-45868]

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-45868 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-bean,H2,2.2.224,511.0,CVE-2018-14335,2023-10-19,2025-03-21,74,74,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.2.224
1,Activiti,activiti-api-basic-full-example-bean,H2,2.3.232,513.0,CVE-2018-14335,2025-03-24,2025-11-14,83,83,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.3.232
1,Activiti,activiti-api-basic-full-example-bean,H2,2.4.240,514.0,CVE-2018-14335,2025-11-14,2026-01-08,22,22,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.4.240
1,Activiti,activiti-api-basic-full-example-custombean,H2,1.4.200,489.0,CVE-2018-14335,2019-12-04,2020-01-19,14,14,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-custombean,H2,1.4.200,490.0,CVE-2021-23463,2019-12-04,2020-01-19,14,14,2021-12-10 20:15:07.917,2024-11-21 05:51:47.487,8.1,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,CWE-611,[CVE-2021-23463] CWE-611: Improper Restriction of XML External Entity Reference ('XXE'),h2 - XML eXternal Entity (XXE) [CVE-2021-23463],pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-custombean,H2,1.4.200,487.0,CVE-2021-42392,2019-12-04,2020-01-19,14,14,2022-01-10 14:10:23.643,2024-11-21 06:27:43.510,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,[CVE-2021-42392] CWE-502: Deserialization of Untrusted Data,"The org.h2.util.JdbcUtils.getConnection method of the H2 database takes as parameters the class name of the driver and URL of the database. An attacker may pass a JNDI driver name and a URL leading to a LDAP or RMI servers, causing remote code execution. This can be exploited through various attack vectors, most notably through the H2 Console which leads to unauthenticated remote code execution.

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-42392 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-custombean,H2,1.4.200,488.0,CVE-2022-23221,2019-12-04,2020-01-19,14,14,2022-01-19 17:15:09.000,2025-05-05 17:17:56.070,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-88,[CVE-2022-23221] CWE-88: Argument Injection or Modification,"H2 Console before 2.1.210 allows remote attackers to execute arbitrary code via a jdbc:h2:mem JDBC URL containing the IGNORE_UNKNOWN_SETTINGS=TRUE;FORBID_CREATION=FALSE;INIT=RUNSCRIPT substring, a different vulnerability than CVE-2021-42392.",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-custombean,H2,1.4.200,491.0,CVE-2022-45868,2019-12-04,2020-01-19,14,14,2022-11-23 21:15:11.360,2024-11-21 07:29:52.050,8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-200,[CVE-2022-45868] CWE-200: Information Exposure,"h2database - Exposure of Sensitive Information to an Unauthorized Actor [CVE-2022-45868]

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-45868 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-nobean,H2,1.4.200,489.0,CVE-2018-14335,2020-01-20,2023-10-13,172,172,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-nobean,H2,1.4.200,490.0,CVE-2021-23463,2020-01-20,2023-10-13,172,172,2021-12-10 20:15:07.917,2024-11-21 05:51:47.487,8.1,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,CWE-611,[CVE-2021-23463] CWE-611: Improper Restriction of XML External Entity Reference ('XXE'),h2 - XML eXternal Entity (XXE) [CVE-2021-23463],pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-nobean,H2,1.4.200,487.0,CVE-2021-42392,2020-01-20,2023-10-13,172,172,2022-01-10 14:10:23.643,2024-11-21 06:27:43.510,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,[CVE-2021-42392] CWE-502: Deserialization of Untrusted Data,"The org.h2.util.JdbcUtils.getConnection method of the H2 database takes as parameters the class name of the driver and URL of the database. An attacker may pass a JNDI driver name and a URL leading to a LDAP or RMI servers, causing remote code execution. This can be exploited through various attack vectors, most notably through the H2 Console which leads to unauthenticated remote code execution.

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-42392 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-nobean,H2,1.4.200,488.0,CVE-2022-23221,2020-01-20,2023-10-13,172,172,2022-01-19 17:15:09.000,2025-05-05 17:17:56.070,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-88,[CVE-2022-23221] CWE-88: Argument Injection or Modification,"H2 Console before 2.1.210 allows remote attackers to execute arbitrary code via a jdbc:h2:mem JDBC URL containing the IGNORE_UNKNOWN_SETTINGS=TRUE;FORBID_CREATION=FALSE;INIT=RUNSCRIPT substring, a different vulnerability than CVE-2021-42392.",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-nobean,H2,1.4.200,491.0,CVE-2022-45868,2020-01-20,2023-10-13,172,172,2022-11-23 21:15:11.360,2024-11-21 07:29:52.050,8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-200,[CVE-2022-45868] CWE-200: Information Exposure,"h2database - Exposure of Sensitive Information to an Unauthorized Actor [CVE-2022-45868]

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-45868 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-full-example-nobean,H2,2.2.224,511.0,CVE-2018-14335,2023-10-19,2025-03-21,74,74,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.2.224
1,Activiti,activiti-api-basic-full-example-nobean,H2,2.3.232,513.0,CVE-2018-14335,2025-03-24,2025-11-14,83,83,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.3.232
1,Activiti,activiti-api-basic-full-example-nobean,H2,2.4.240,514.0,CVE-2018-14335,2025-11-14,2026-01-08,22,22,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.4.240
1,Activiti,activiti-api-basic-process-example,H2,1.4.200,489.0,CVE-2018-14335,2020-01-20,2023-10-13,172,172,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-process-example,H2,1.4.200,490.0,CVE-2021-23463,2020-01-20,2023-10-13,172,172,2021-12-10 20:15:07.917,2024-11-21 05:51:47.487,8.1,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,CWE-611,[CVE-2021-23463] CWE-611: Improper Restriction of XML External Entity Reference ('XXE'),h2 - XML eXternal Entity (XXE) [CVE-2021-23463],pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-process-example,H2,1.4.200,487.0,CVE-2021-42392,2020-01-20,2023-10-13,172,172,2022-01-10 14:10:23.643,2024-11-21 06:27:43.510,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-502,[CVE-2021-42392] CWE-502: Deserialization of Untrusted Data,"The org.h2.util.JdbcUtils.getConnection method of the H2 database takes as parameters the class name of the driver and URL of the database. An attacker may pass a JNDI driver name and a URL leading to a LDAP or RMI servers, causing remote code execution. This can be exploited through various attack vectors, most notably through the H2 Console which leads to unauthenticated remote code execution.

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2021-42392 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-process-example,H2,1.4.200,488.0,CVE-2022-23221,2020-01-20,2023-10-13,172,172,2022-01-19 17:15:09.000,2025-05-05 17:17:56.070,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-88,[CVE-2022-23221] CWE-88: Argument Injection or Modification,"H2 Console before 2.1.210 allows remote attackers to execute arbitrary code via a jdbc:h2:mem JDBC URL containing the IGNORE_UNKNOWN_SETTINGS=TRUE;FORBID_CREATION=FALSE;INIT=RUNSCRIPT substring, a different vulnerability than CVE-2021-42392.",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-process-example,H2,1.4.200,491.0,CVE-2022-45868,2020-01-20,2023-10-13,172,172,2022-11-23 21:15:11.360,2024-11-21 07:29:52.050,8.4,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-200,[CVE-2022-45868] CWE-200: Information Exposure,"h2database - Exposure of Sensitive Information to an Unauthorized Actor [CVE-2022-45868]

Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-45868 for details",pkg:maven/com.h2database/h2@1.4.200
1,Activiti,activiti-api-basic-process-example,H2,2.2.224,511.0,CVE-2018-14335,2023-10-19,2025-03-21,74,74,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.2.224
1,Activiti,activiti-api-basic-process-example,H2,2.3.232,513.0,CVE-2018-14335,2025-03-24,2025-11-14,83,83,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.3.232
1,Activiti,activiti-api-basic-process-example,H2,2.4.240,514.0,CVE-2018-14335,2025-11-14,2026-01-08,22,22,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@2.4.240
1,Activiti,activiti-api-basic-process-examples,H2,1.4.200,489.0,CVE-2018-14335,2019-12-04,2020-01-19,14,14,2018-07-24 13:29:00.603,2024-11-21 03:48:50.630,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CWE-59,[CVE-2018-14335] CWE-59: Improper Link Resolution Before File Access ('Link Following'),h2database - Improper Link Resolution Before File Access,pkg:maven/com.h2database/h2@1.4.200
